127.0.0.1, 2016-03-24 20:24:40, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.140713
127.0.0.1, 2016-03-24 20:24:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2016-03-24 20:24:55, GET, /admin/default/peek/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.033926
127.0.0.1, 2016-03-24 20:24:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.038275
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000605
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001167
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001009
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001306
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001723
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.004061
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.003253
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001696
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001252
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001609
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001801
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001946
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001617
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000491
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000865
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000468
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002635
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002477
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001113
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001931
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001698
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002585
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001763
127.0.0.1, 2016-03-24 20:24:59, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000993
